State,Total_Bio_Updates,Bio_Age_5_17,Bio_Age_17_Plus,Districts,Pincodes,Child_Ratio_%,Adult_Ratio_%,Pressure_Index
Uttar Pradesh,9577735,6207105,3370630,90,1753,64.8,35.2,89.4
Maharashtra,9226139,3512712,5713427,52,1607,38.1,61.9,60.8
Madhya Pradesh,5923771,3200117,2723654,60,797,54.0,46.0,55.5
Bihar,4897587,2208141,2689446,46,917,45.1,54.9,51.9
Tamil Nadu,4698117,2227252,2470865,45,2088,47.4,52.6,40.4
Rajasthan,3994955,2066747,1928208,45,986,51.7,48.3,42.5
Andhra Pradesh,3714633,2241467,1473166,45,1847,60.3,39.7,37.4
Gujarat,3196514,1460655,1735859,39,1026,45.7,54.3,35.0
Chhattisgarh,2648729,884553,1764176,40,269,33.4,66.6,24.1
Karnataka,2635954,1244999,1390955,53,1353,47.2,52.8,31.6
West Bengal,2524506,1040484,1484022,47,1354,41.2,58.8,33.9
Odisha,2402877,1198593,1204284,39,940,49.9,50.1,28.5
Jharkhand,2026297,876613,1149684,33,364,43.3,56.7,26.1
Punjab,1739671,700157,1039514,27,526,40.2,59.8,21.5
Telangana,1737654,946497,791157,40,653,54.5,45.5,27.5
Haryana,1635454,693667,941787,24,305,42.4,57.6,22.5
Kerala,1609730,647939,961791,15,1418,40.3,59.7,21.0
Delhi,1304362,556237,748125,13,94,42.6,57.4,21.0
Assam,982722,596624,386098,37,574,60.7,39.3,28.5
Jammu And Kashmir,791218,420235,370983,25,206,53.1,46.9,20.7
Uttarakhand,764763,424441,340322,15,297,55.5,44.5,21.0
Himachal Pradesh,396234,191566,204668,14,448,48.3,51.7,16.7
Tripura,292155,147535,144620,9,86,50.5,49.5,16.7
Manipur,282587,166465,116122,12,55,58.9,41.1,19.2
Mizoram,120329,85531,34798,12,49,71.1,28.9,22.0
Nagaland,109593,32561,77032,17,44,29.7,70.3,9.8
Meghalaya,87626,36531,51095,13,66,41.7,58.3,15.1
Chandigarh,74482,49171,25311,3,27,66.0,34.0,20.2
Arunachal Pradesh,72394,42894,29500,25,54,59.3,40.7,18.2
Goa,68397,34244,34153,4,89,50.1,49.9,15.4
Orissa,62083,12796,49287,37,694,20.6,79.4,6.6
Puducherry,42321,21828,20493,4,36,51.6,48.4,15.7
Pondicherry,27587,5218,22369,5,35,18.9,81.1,5.8
Dadra And Nagar Haveli,27235,10791,16444,1,4,39.6,60.4,12.0
Sikkim,22820,11932,10888,9,22,52.3,47.7,15.8
Andaman And Nicobar Islands,18314,11401,6913,3,22,62.3,37.7,18.8
Daman And Diu,6763,4215,2548,2,6,62.3,37.7,18.7
Ladakh,5763,2809,2954,2,14,48.7,51.3,14.7
Lakshadweep,4820,2226,2594,1,9,46.2,53.8,13.9
Dadra And Nagar Haveli And Daman And Diu,2532,753,1779,3,10,29.7,70.3,8.9
Andaman & Nicobar Islands,2384,405,1979,3,13,17.0,83.0,5.1
Daman & Diu,2185,531,1654,2,5,24.3,75.7,7.3
Dadra & Nagar Haveli,553,72,481,1,4,13.0,87.0,3.9
Jammu & Kashmir,429,114,315,15,95,26.6,73.4,8.0
West Bangal,54,15,39,3,9,27.8,72.2,8.3
Westbengal,31,7,24,2,7,22.6,77.4,6.8
West  Bengal,28,6,22,1,4,21.4,78.6,6.4
Chhatisgarh,5,2,3,1,1,40.0,60.0,12.0
Uttaranchal,2,0,2,2,2,0.0,100.0,0.0
Tamilnadu,1,1,0,1,1,100.0,0.0,30.0
